Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XLC,XLRE
04/12/2021,78.93586731,45.72319794,34.70642853,99.53039551,140.0603027,67.64378357,62.97704315,116.3863602,176.0490265,75.99203491,39.52761078
04/13/2021,78.74916077,45.77101898,34.38198471,99.04695892,141.3805847,67.28257751,63.72447205,116.8693771,177.9078064,76.0912323,39.76138687
04/14/2021,79.31909943,47.04296494,34.58844757,99.17520905,139.8815918,67.22400665,64.00595093,116.85952,176.1583557,75.3075943,39.51786804
04/15/2021,80.25260925,46.66041946,34.55895615,99.56987,142.2839508,67.76094055,64.7145462,118.8605652,177.4207458,76.26977539,40.26789856
04/16/2021,81.22543335,46.28744888,34.80475235,99.78691864,142.2541809,68.15142822,65.2387085,119.7477341,178.7924652,76.2201767,40.32634354
04/19/2021,80.85202026,46.23962784,34.70642853,99.37253571,141.0728455,67.8878479,64.90867615,119.7773056,176.7845764,75.79364777,40.45297241
04/20/2021,80.07572937,45.01549911,34.05752945,98.27738953,139.8220673,68.25881958,65.73374939,120.2406082,174.5579834,75.38696289,40.90104675
04/21/2021,81.53005219,45.58930969,34.52945328,99.61919403,141.2316895,68.60050201,65.18047333,121.6600647,176.8839569,75.51590729,41.08611298
04/22/2021,80.15435028,45.05375671,34.14601135,99.11601257,139.5738983,68.09285736,64.7145462,121.1179199,174.925766,74.96042633,40.91078186
04/23/2021,81.47109222,45.46498108,34.78508759,100.2013016,141.6585541,67.91712952,64.62718201,121.9163589,176.7547607,75.83332825,41.14456177
04/26/2021,81.95259094,45.77101898,34.92273331,99.90531921,142.3832092,67.15567017,64.25832367,121.5023499,177.5301056,75.99203491,41.23222733
04/27/2021,81.73639679,46.32569885,35.19802094,100.7340775,142.0357666,67.1068573,63.76329422,120.802475,177.3213348,75.68453979,41.23222733
04/28/2021,81.96240997,47.9228096,35.33566666,100.526886,140.7154846,67.15567017,63.67593002,120.4377594,177.1125946,76.37889099,41.08611298
04/29/2021,82.47338104,48.45836258,35.9649086,101.2372589,140.5963593,67.86832428,64.25832367,119.9547424,177.1622925,78.49170685,41.38807678
04/30/2021,81.59883881,47.23423386,35.65028763,100.5663528,138.6804352,67.92690277,64.76308441,119.5998764,177.848175,77.42043304,41.66081238
05/03/2021,82.81731415,48.53487396,35.82725906,101.6023102,138.2932892,68.48336029,64.75336456,120.9601974,177.0032806,77.01372528,41.43677902
